Team,Order,Artist,Song,Appearance Number
Red,2,天童よしみ,ソーラン祭り節,27
Red,3,緑黄色社会,Mela!,初
Red,6,水森かおり,九十九里浜～謎解き紅白スペシャル～,20
Red,7,LE SSERAFIM,FEARLESS -Japanese ver.-,初
Red,10,日向坂46,キツネ,4
Red,12,milet,Fly High,3
Red,13,NiziU,CLAP CLAP,3
Red,16,SEKAI NO OWARI,Habit,6
Red,18,IVE,ELEVEN -Japanese ver.-,初
Red,20,Perfume,紅白 Medley 2022,15
Red,22,Aimer,残響散歌,初
Red,23,坂本冬美,お祭りマンボ～スカパラSP～,34
Red,24,ウタ,新時代,初
Red,27,TWICE,Celebrate,4
Red,30,milet×Aimer×幾田りら×Vaundy,おもかげ,Special
Red,31,純烈（ダチョウ倶楽部・有吉弘行）,プロポーズ～白い雲のように,5
Red,33,乃木坂46,裸足でSummer,8
Red,34,工藤静香,35周年SPメドレー,9
Red,37,あいみょん,ハート～君はロックを聴かない,4
Red,39,Superfly,Beautiful,6
Red,41,篠原涼子,恋しさと せつなさと 心強さと 2023,2
Red,43,関ジャニ∞,T.W.L,11
Red,44,星野源,喜劇,8
White,1,SixTONES,Good Luck!,3
White,4,郷ひろみ,GO!GO!50周年!!SPメドレー,35
White,5,なにわ男子,初心LOVE（うぶらぶ）,初
White,8,Saucy Dog,シンデレラボーイ,初
White,9,山内惠介,恋する街角～きつねダンスRemix～,8
White,11,JO1,無限大,初
White,14,鈴木雅之,違う、そうじゃない,5
White,15,BE:FIRST,Shining One,初
White,17,三浦大知,燦燦,4
White,19,Snow Man,ブラザービート～紅白みんなでシェー!SP～,2
White,25,King Gnu,Stardom,2
White,26,三山ひろし,夢追い人～第6回けん玉世界記録への道～,8
White,29,Vaundy,怪獣の花唄,初
White,35,King & Prince,ichiban,5
White,36,Official髭男dism,Subtitle,3
White,40,藤井風,死ぬのがいいわ,2
White,42,ゆず,夏色,13
